species,island,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,18.7,181.0,3750.0,MALE
Adelie,Torgersen,17.4,186.0,3800.0,FEMALE
Adelie,Torgersen,18.0,195.0,3250.0,FEMALE
Adelie,Torgersen,,,,
Adelie,Torgersen,19.3,193.0,3450.0,FEMALE
Adelie,Torgersen,20.6,190.0,3650.0,MALE
Adelie,Torgersen,17.8,181.0,3625.0,FEMALE
Adelie,Torgersen,19.6,195.0,4675.0,MALE
Adelie,Torgersen,18.1,193.0,3475.0,
Adelie,Torgersen,20.2,190.0,4250.0,
Adelie,Torgersen,17.1,186.0,3300.0,
Adelie,Torgersen,17.3,180.0,3700.0,
Adelie,Torgersen,17.6,182.0,3200.0,FEMALE
Adelie,Torgersen,21.2,191.0,3800.0,MALE
Adelie,Torgersen,21.1,198.0,4400.0,MALE
Adelie,Torgersen,17.8,185.0,3700.0,FEMALE
Adelie,Torgersen,19.0,195.0,3450.0,FEMALE
Adelie,Torgersen,20.7,197.0,4500.0,MALE
Adelie,Torgersen,18.4,184.0,3325.0,FEMALE
Adelie,Torgersen,21.5,194.0,4200.0,MALE
Adelie,Biscoe,18.3,174.0,3400.0,FEMALE
Adelie,Biscoe,18.7,180.0,3600.0,MALE
Adelie,Biscoe,19.2,189.0,3800.0,FEMALE
Adelie,Biscoe,18.1,185.0,3950.0,MALE
Adelie,Biscoe,17.2,180.0,3800.0,MALE
Adelie,Biscoe,18.9,187.0,3800.0,FEMALE
Adelie,Biscoe,18.6,183.0,3550.0,MALE
Adelie,Biscoe,17.9,187.0,3200.0,FEMALE
Adelie,Biscoe,18.6,172.0,3150.0,FEMALE
Adelie,Biscoe,18.9,180.0,3950.0,MALE
Adelie,Dream,16.7,178.0,3250.0,FEMALE
Adelie,Dream,18.1,178.0,3900.0,MALE
Adelie,Dream,17.8,188.0,3300.0,FEMALE
Adelie,Dream,18.9,184.0,3900.0,MALE
Adelie,Dream,17.0,195.0,3325.0,FEMALE
Adelie,Dream,21.1,196.0,4150.0,MALE
Adelie,Dream,20.0,190.0,3950.0,MALE
Adelie,Dream,18.5,180.0,3550.0,FEMALE
Adelie,Dream,19.3,181.0,3300.0,FEMALE
Adelie,Dream,19.1,184.0,4650.0,MALE
Adelie,Dream,18.0,182.0,3150.0,FEMALE
Adelie,Dream,18.4,195.0,3900.0,MALE
Adelie,Dream,18.5,186.0,3100.0,FEMALE
Adelie,Dream,19.7,196.0,4400.0,MALE
Adelie,Dream,16.9,185.0,3000.0,FEMALE
Adelie,Dream,18.8,190.0,4600.0,MALE
Adelie,Dream,19.0,182.0,3425.0,MALE
Adelie,Dream,18.9,179.0,2975.0,
Adelie,Dream,17.9,190.0,3450.0,FEMALE
Adelie,Dream,21.2,191.0,4150.0,MALE
Adelie,Biscoe,17.7,186.0,3500.0,FEMALE
Adelie,Biscoe,18.9,188.0,4300.0,MALE
Adelie,Biscoe,17.9,190.0,3450.0,FEMALE
Adelie,Biscoe,19.5,200.0,4050.0,MALE
Adelie,Biscoe,18.1,187.0,2900.0,FEMALE
Adelie,Biscoe,18.6,191.0,3700.0,MALE
Adelie,Biscoe,17.5,186.0,3550.0,FEMALE
Adelie,Biscoe,18.8,193.0,3800.0,MALE
Adelie,Biscoe,16.6,181.0,2850.0,FEMALE
Adelie,Biscoe,19.1,194.0,3750.0,MALE
Adelie,Biscoe,16.9,185.0,3150.0,FEMALE
Adelie,Biscoe,21.1,195.0,4400.0,MALE
Adelie,Biscoe,17.0,185.0,3600.0,FEMALE
Adelie,Biscoe,18.2,192.0,4050.0,MALE
Adelie,Biscoe,17.1,184.0,2850.0,FEMALE
Adelie,Biscoe,18.0,192.0,3950.0,MALE
Adelie,Biscoe,16.2,195.0,3350.0,FEMALE
Adelie,Biscoe,19.1,188.0,4100.0,MALE
Adelie,Torgersen,16.6,190.0,3050.0,FEMALE
Adelie,Torgersen,19.4,198.0,4450.0,MALE
Adelie,Torgersen,19.0,190.0,3600.0,FEMALE
Adelie,Torgersen,18.4,190.0,3900.0,MALE
Adelie,Torgersen,17.2,196.0,3550.0,FEMALE
Adelie,Torgersen,18.9,197.0,4150.0,MALE
Adelie,Torgersen,17.5,190.0,3700.0,FEMALE
Adelie,Torgersen,18.5,195.0,4250.0,MALE
Adelie,Torgersen,16.8,191.0,3700.0,FEMALE
Adelie,Torgersen,19.4,184.0,3900.0,MALE
Adelie,Torgersen,16.1,187.0,3550.0,FEMALE
Adelie,Torgersen,19.1,195.0,4000.0,MALE
Adelie,Torgersen,17.2,189.0,3200.0,FEMALE
Adelie,Torgersen,17.6,196.0,4700.0,MALE
Adelie,Torgersen,18.8,187.0,3800.0,FEMALE
Adelie,Torgersen,19.4,193.0,4200.0,MALE
Adelie,Dream,17.8,191.0,3350.0,FEMALE
Adelie,Dream,20.3,194.0,3550.0,MALE
Adelie,Dream,19.5,190.0,3800.0,MALE
Adelie,Dream,18.6,189.0,3500.0,FEMALE
Adelie,Dream,19.2,189.0,3950.0,MALE
Adelie,Dream,18.8,190.0,3600.0,FEMALE
Adelie,Dream,18.0,202.0,3550.0,FEMALE
Adelie,Dream,18.1,205.0,4300.0,MALE
Adelie,Dream,17.1,185.0,3400.0,FEMALE
Adelie,Dream,18.1,186.0,4450.0,MALE
Adelie,Dream,17.3,187.0,3300.0,FEMALE
Adelie,Dream,18.9,208.0,4300.0,MALE
Adelie,Dream,18.6,190.0,3700.0,FEMALE
Adelie,Dream,18.5,196.0,4350.0,MALE
Adelie,Dream,16.1,178.0,2900.0,FEMALE
Adelie,Dream,18.5,192.0,4100.0,MALE
Adelie,Biscoe,17.9,192.0,3725.0,FEMALE
Adelie,Biscoe,20.0,203.0,4725.0,MALE
Adelie,Biscoe,16.0,183.0,3075.0,FEMALE
Adelie,Biscoe,20.0,190.0,4250.0,MALE
Adelie,Biscoe,18.6,193.0,2925.0,FEMALE
Adelie,Biscoe,18.9,184.0,3550.0,MALE
Adelie,Biscoe,17.2,199.0,3750.0,FEMALE
Adelie,Biscoe,20.0,190.0,3900.0,MALE
Adelie,Biscoe,17.0,181.0,3175.0,FEMALE
Adelie,Biscoe,19.0,197.0,4775.0,MALE
Adelie,Biscoe,16.5,198.0,3825.0,FEMALE
Adelie,Biscoe,20.3,191.0,4600.0,MALE
Adelie,Biscoe,17.7,193.0,3200.0,FEMALE
Adelie,Biscoe,19.5,197.0,4275.0,MALE
Adelie,Biscoe,20.7,191.0,3900.0,FEMALE
Adelie,Biscoe,18.3,196.0,4075.0,MALE
Adelie,Torgersen,17.0,188.0,2900.0,FEMALE
Adelie,Torgersen,20.5,199.0,3775.0,MALE
Adelie,Torgersen,17.0,189.0,3350.0,FEMALE
Adelie,Torgersen,18.6,189.0,3325.0,MALE
Adelie,Torgersen,17.2,187.0,3150.0,FEMALE
Adelie,Torgersen,19.8,198.0,3500.0,MALE
Adelie,Torgersen,17.0,176.0,3450.0,FEMALE
Adelie,Torgersen,18.5,202.0,3875.0,MALE
Adelie,Torgersen,15.9,186.0,3050.0,FEMALE
Adelie,Torgersen,19.0,199.0,4000.0,MALE
Adelie,Torgersen,17.6,191.0,3275.0,FEMALE
Adelie,Torgersen,18.3,195.0,4300.0,MALE
Adelie,Torgersen,17.1,191.0,3050.0,FEMALE
Adelie,Torgersen,18.0,210.0,4000.0,MALE
Adelie,Torgersen,17.9,190.0,3325.0,FEMALE
Adelie,Torgersen,19.2,197.0,3500.0,MALE
Adelie,Dream,18.5,193.0,3500.0,FEMALE
Adelie,Dream,18.5,199.0,4475.0,MALE
Adelie,Dream,17.6,187.0,3425.0,FEMALE
Adelie,Dream,17.5,190.0,3900.0,MALE
Adelie,Dream,17.5,191.0,3175.0,FEMALE
Adelie,Dream,20.1,200.0,3975.0,MALE
Adelie,Dream,16.5,185.0,3400.0,FEMALE
Adelie,Dream,17.9,193.0,4250.0,MALE
Adelie,Dream,17.1,193.0,3400.0,FEMALE
Adelie,Dream,17.2,187.0,3475.0,MALE
Adelie,Dream,15.5,188.0,3050.0,FEMALE
Adelie,Dream,17.0,190.0,3725.0,MALE
Adelie,Dream,16.8,192.0,3000.0,FEMALE
Adelie,Dream,18.7,185.0,3650.0,MALE
Adelie,Dream,18.6,190.0,4250.0,MALE
Adelie,Dream,18.4,184.0,3475.0,FEMALE
Adelie,Dream,17.8,195.0,3450.0,FEMALE
Adelie,Dream,18.1,193.0,3750.0,MALE
Adelie,Dream,17.1,187.0,3700.0,FEMALE
Adelie,Dream,18.5,201.0,4000.0,MALE
Chinstrap,Dream,17.9,192.0,3500.0,FEMALE
Chinstrap,Dream,19.5,196.0,3900.0,MALE
Chinstrap,Dream,19.2,193.0,3650.0,MALE
Chinstrap,Dream,18.7,188.0,3525.0,FEMALE
Chinstrap,Dream,19.8,197.0,3725.0,MALE
Chinstrap,Dream,17.8,198.0,3950.0,FEMALE
Chinstrap,Dream,18.2,178.0,3250.0,FEMALE
Chinstrap,Dream,18.2,197.0,3750.0,MALE
Chinstrap,Dream,18.9,195.0,4150.0,FEMALE
Chinstrap,Dream,19.9,198.0,3700.0,MALE
Chinstrap,Dream,17.8,193.0,3800.0,FEMALE
Chinstrap,Dream,20.3,194.0,3775.0,MALE
Chinstrap,Dream,17.3,185.0,3700.0,FEMALE
Chinstrap,Dream,18.1,201.0,4050.0,MALE
Chinstrap,Dream,17.1,190.0,3575.0,FEMALE
Chinstrap,Dream,19.6,201.0,4050.0,MALE
Chinstrap,Dream,20.0,197.0,3300.0,MALE
Chinstrap,Dream,17.8,181.0,3700.0,FEMALE
Chinstrap,Dream,18.6,190.0,3450.0,FEMALE
Chinstrap,Dream,18.2,195.0,4400.0,MALE
Chinstrap,Dream,17.3,181.0,3600.0,FEMALE
Chinstrap,Dream,17.5,191.0,3400.0,MALE
Chinstrap,Dream,16.6,187.0,2900.0,FEMALE
Chinstrap,Dream,19.4,193.0,3800.0,MALE
Chinstrap,Dream,17.9,195.0,3300.0,FEMALE
Chinstrap,Dream,19.0,197.0,4150.0,MALE
Chinstrap,Dream,18.4,200.0,3400.0,FEMALE
Chinstrap,Dream,19.0,200.0,3800.0,MALE
Chinstrap,Dream,17.8,191.0,3700.0,FEMALE
Chinstrap,Dream,20.0,205.0,4550.0,MALE
Chinstrap,Dream,16.6,187.0,3200.0,FEMALE
Chinstrap,Dream,20.8,201.0,4300.0,MALE
Chinstrap,Dream,16.7,187.0,3350.0,FEMALE
Chinstrap,Dream,18.8,203.0,4100.0,MALE
Chinstrap,Dream,18.6,195.0,3600.0,MALE
Chinstrap,Dream,16.8,199.0,3900.0,FEMALE
Chinstrap,Dream,18.3,195.0,3850.0,FEMALE
Chinstrap,Dream,20.7,210.0,4800.0,MALE
Chinstrap,Dream,16.6,192.0,2700.0,FEMALE
Chinstrap,Dream,19.9,205.0,4500.0,MALE
Chinstrap,Dream,19.5,210.0,3950.0,MALE
Chinstrap,Dream,17.5,187.0,3650.0,FEMALE
Chinstrap,Dream,19.1,196.0,3550.0,MALE
Chinstrap,Dream,17.0,196.0,3500.0,FEMALE
Chinstrap,Dream,17.9,196.0,3675.0,FEMALE
Chinstrap,Dream,18.5,201.0,4450.0,MALE
Chinstrap,Dream,17.9,190.0,3400.0,FEMALE
Chinstrap,Dream,19.6,212.0,4300.0,MALE
Chinstrap,Dream,18.7,187.0,3250.0,MALE
Chinstrap,Dream,17.3,198.0,3675.0,FEMALE
Chinstrap,Dream,16.4,199.0,3325.0,FEMALE
Chinstrap,Dream,19.0,201.0,3950.0,MALE
Chinstrap,Dream,17.3,193.0,3600.0,FEMALE
Chinstrap,Dream,19.7,203.0,4050.0,MALE
Chinstrap,Dream,17.3,187.0,3350.0,FEMALE
Chinstrap,Dream,18.8,197.0,3450.0,MALE
Chinstrap,Dream,16.6,191.0,3250.0,FEMALE
Chinstrap,Dream,19.9,203.0,4050.0,MALE
Chinstrap,Dream,18.8,202.0,3800.0,MALE
Chinstrap,Dream,19.4,194.0,3525.0,FEMALE
Chinstrap,Dream,19.5,206.0,3950.0,MALE
Chinstrap,Dream,16.5,189.0,3650.0,FEMALE
Chinstrap,Dream,17.0,195.0,3650.0,FEMALE
Chinstrap,Dream,19.8,207.0,4000.0,MALE
Chinstrap,Dream,18.1,202.0,3400.0,FEMALE
Chinstrap,Dream,18.2,193.0,3775.0,MALE
Chinstrap,Dream,19.0,210.0,4100.0,MALE
Chinstrap,Dream,18.7,198.0,3775.0,FEMALE
Gentoo,Biscoe,13.2,211.0,4500.0,FEMALE
Gentoo,Biscoe,16.3,230.0,5700.0,MALE
Gentoo,Biscoe,14.1,210.0,4450.0,FEMALE
Gentoo,Biscoe,15.2,218.0,5700.0,MALE
Gentoo,Biscoe,14.5,215.0,5400.0,MALE
Gentoo,Biscoe,13.5,210.0,4550.0,FEMALE
Gentoo,Biscoe,14.6,211.0,4800.0,FEMALE
Gentoo,Biscoe,15.3,219.0,5200.0,MALE
Gentoo,Biscoe,13.4,209.0,4400.0,FEMALE
Gentoo,Biscoe,15.4,215.0,5150.0,MALE
Gentoo,Biscoe,13.7,214.0,4650.0,FEMALE
Gentoo,Biscoe,16.1,216.0,5550.0,MALE
Gentoo,Biscoe,13.7,214.0,4650.0,FEMALE
Gentoo,Biscoe,14.6,213.0,5850.0,MALE
Gentoo,Biscoe,14.6,210.0,4200.0,FEMALE
Gentoo,Biscoe,15.7,217.0,5850.0,MALE
Gentoo,Biscoe,13.5,210.0,4150.0,FEMALE
Gentoo,Biscoe,15.2,221.0,6300.0,MALE
Gentoo,Biscoe,14.5,209.0,4800.0,FEMALE
Gentoo,Biscoe,15.1,222.0,5350.0,MALE
Gentoo,Biscoe,14.3,218.0,5700.0,MALE
Gentoo,Biscoe,14.5,215.0,5000.0,FEMALE
Gentoo,Biscoe,14.5,213.0,4400.0,FEMALE
Gentoo,Biscoe,15.8,215.0,5050.0,MALE
Gentoo,Biscoe,13.1,215.0,5000.0,FEMALE
Gentoo,Biscoe,15.1,215.0,5100.0,MALE
Gentoo,Biscoe,14.3,216.0,4100.0,
Gentoo,Biscoe,15.0,215.0,5650.0,MALE
Gentoo,Biscoe,14.3,210.0,4600.0,FEMALE
Gentoo,Biscoe,15.3,220.0,5550.0,MALE
Gentoo,Biscoe,15.3,222.0,5250.0,MALE
Gentoo,Biscoe,14.2,209.0,4700.0,FEMALE
Gentoo,Biscoe,14.5,207.0,5050.0,FEMALE
Gentoo,Biscoe,17.0,230.0,6050.0,MALE
Gentoo,Biscoe,14.8,220.0,5150.0,FEMALE
Gentoo,Biscoe,16.3,220.0,5400.0,MALE
Gentoo,Biscoe,13.7,213.0,4950.0,FEMALE
Gentoo,Biscoe,17.3,219.0,5250.0,MALE
Gentoo,Biscoe,13.6,208.0,4350.0,FEMALE
Gentoo,Biscoe,15.7,208.0,5350.0,MALE
Gentoo,Biscoe,13.7,208.0,3950.0,FEMALE
Gentoo,Biscoe,16.0,225.0,5700.0,MALE
Gentoo,Biscoe,13.7,210.0,4300.0,FEMALE
Gentoo,Biscoe,15.0,216.0,4750.0,MALE
Gentoo,Biscoe,15.9,222.0,5550.0,MALE
Gentoo,Biscoe,13.9,217.0,4900.0,FEMALE
Gentoo,Biscoe,13.9,210.0,4200.0,FEMALE
Gentoo,Biscoe,15.9,225.0,5400.0,MALE
Gentoo,Biscoe,13.3,213.0,5100.0,FEMALE
Gentoo,Biscoe,15.8,215.0,5300.0,MALE
Gentoo,Biscoe,14.2,210.0,4850.0,FEMALE
Gentoo,Biscoe,14.1,220.0,5300.0,MALE
Gentoo,Biscoe,14.4,210.0,4400.0,FEMALE
Gentoo,Biscoe,15.0,225.0,5000.0,MALE
Gentoo,Biscoe,14.4,217.0,4900.0,FEMALE
Gentoo,Biscoe,15.4,220.0,5050.0,MALE
Gentoo,Biscoe,13.9,208.0,4300.0,FEMALE
Gentoo,Biscoe,15.0,220.0,5000.0,MALE
Gentoo,Biscoe,14.5,208.0,4450.0,FEMALE
Gentoo,Biscoe,15.3,224.0,5550.0,MALE
Gentoo,Biscoe,13.8,208.0,4200.0,FEMALE
Gentoo,Biscoe,14.9,221.0,5300.0,MALE
Gentoo,Biscoe,13.9,214.0,4400.0,FEMALE
Gentoo,Biscoe,15.7,231.0,5650.0,MALE
Gentoo,Biscoe,14.2,219.0,4700.0,FEMALE
Gentoo,Biscoe,16.8,230.0,5700.0,MALE
Gentoo,Biscoe,14.4,214.0,4650.0,
Gentoo,Biscoe,16.2,229.0,5800.0,MALE
Gentoo,Biscoe,14.2,220.0,4700.0,FEMALE
Gentoo,Biscoe,15.0,223.0,5550.0,MALE
Gentoo,Biscoe,15.0,216.0,4750.0,FEMALE
Gentoo,Biscoe,15.6,221.0,5000.0,MALE
Gentoo,Biscoe,15.6,221.0,5100.0,MALE
Gentoo,Biscoe,14.8,217.0,5200.0,FEMALE
Gentoo,Biscoe,15.0,216.0,4700.0,FEMALE
Gentoo,Biscoe,16.0,230.0,5800.0,MALE
Gentoo,Biscoe,14.2,209.0,4600.0,FEMALE
Gentoo,Biscoe,16.3,220.0,6000.0,MALE
Gentoo,Biscoe,13.8,215.0,4750.0,FEMALE
Gentoo,Biscoe,16.4,223.0,5950.0,MALE
Gentoo,Biscoe,14.5,212.0,4625.0,FEMALE
Gentoo,Biscoe,15.6,221.0,5450.0,MALE
Gentoo,Biscoe,14.6,212.0,4725.0,FEMALE
Gentoo,Biscoe,15.9,224.0,5350.0,MALE
Gentoo,Biscoe,13.8,212.0,4750.0,FEMALE
Gentoo,Biscoe,17.3,228.0,5600.0,MALE
Gentoo,Biscoe,14.4,218.0,4600.0,FEMALE
Gentoo,Biscoe,14.2,218.0,5300.0,MALE
Gentoo,Biscoe,14.0,212.0,4875.0,FEMALE
Gentoo,Biscoe,17.0,230.0,5550.0,MALE
Gentoo,Biscoe,15.0,218.0,4950.0,FEMALE
Gentoo,Biscoe,17.1,228.0,5400.0,MALE
Gentoo,Biscoe,14.5,212.0,4750.0,FEMALE
Gentoo,Biscoe,16.1,224.0,5650.0,MALE
Gentoo,Biscoe,14.7,214.0,4850.0,FEMALE
Gentoo,Biscoe,15.7,226.0,5200.0,MALE
Gentoo,Biscoe,15.8,216.0,4925.0,MALE
Gentoo,Biscoe,14.6,222.0,4875.0,FEMALE
Gentoo,Biscoe,14.4,203.0,4625.0,FEMALE
Gentoo,Biscoe,16.5,225.0,5250.0,MALE
Gentoo,Biscoe,15.0,219.0,4850.0,FEMALE
Gentoo,Biscoe,17.0,228.0,5600.0,MALE
Gentoo,Biscoe,15.5,215.0,4975.0,FEMALE
Gentoo,Biscoe,15.0,228.0,5500.0,MALE
Gentoo,Biscoe,13.8,216.0,4725.0,
Gentoo,Biscoe,16.1,215.0,5500.0,MALE
Gentoo,Biscoe,14.7,210.0,4700.0,FEMALE
Gentoo,Biscoe,15.8,219.0,5500.0,MALE
Gentoo,Biscoe,14.0,208.0,4575.0,FEMALE
Gentoo,Biscoe,15.1,209.0,5500.0,MALE
Gentoo,Biscoe,15.2,216.0,5000.0,FEMALE
Gentoo,Biscoe,15.9,229.0,5950.0,MALE
Gentoo,Biscoe,15.2,213.0,4650.0,FEMALE
Gentoo,Biscoe,16.3,230.0,5500.0,MALE
Gentoo,Biscoe,14.1,217.0,4375.0,FEMALE
Gentoo,Biscoe,16.0,230.0,5850.0,MALE
Gentoo,Biscoe,15.7,217.0,4875.0,
Gentoo,Biscoe,16.2,222.0,6000.0,MALE
Gentoo,Biscoe,13.7,214.0,4925.0,FEMALE
Gentoo,Biscoe,,,,
Gentoo,Biscoe,14.3,215.0,4850.0,FEMALE
Gentoo,Biscoe,15.7,222.0,5750.0,MALE
Gentoo,Biscoe,14.8,212.0,5200.0,FEMALE
Gentoo,Biscoe,16.1,213.0,5400.0,MALE
